"","","","","","","","","","","","201PT037","","201HE044","","201ME066","","201SU065","","201HC028","","201ME008","","201ME051","","201CA019","","201CA035","","201CA048","","201CA061","","201TR007","","201TR006","","201TR037","","203TRSE066","","203TRTM066","","203TRBV037","","203TRFA037","","202TRSE037","","203OP031","","203FY066","","203ME066","","203CA066","","203PT037","","203II066","","203OPFA066","","202ME037","","203HR031","","203TASC037","","203TABC037","","203HSSC037","","203HSBC037","","203HRFA037","","203LD037","","203PC037","","203TL037","","202HR037","","201HS037","","203FP037","","203CM037","","203AR037","","203AR066","","203AP005","","203FA031","","201FC037","","202FA037","","201SA066","","201SA037","","102SA021","","203SM031","","203MK037","","203SR066","","203CS066","","203PS066","","203DM066","","203OM066","","203CN029","","203PU037","","203PM037","","202SR037","","203CC066","","203SMFA037","","203IN037","","203SV037","","203IA037","","203ER037","","203IT031","","201IN037","","203009","","203012","","203CH066","","203VC027","","203LG031","","203CT066","","203LT066","","203SF066","","203BP037","","203GP037","","203DEFA037","","203DEBV037","","203DC037","","203HV037","","203LS037","","201PL020","","201PL021","","203PL037","","201LI037","","201LA037","","201TY037","","201072","","201022","","201SP020","","201CI013","","201FG013","","201GY013","","201JU013","","201SK013","","201SW013","","201038","","201KC024","","101041","","1022301020","","1022301024","","1022303064","","1022302020","","1022302024","","1032301064","","1032303064","","1032302064","","1042301064","","1042303064","","1042302064","","1052301064","","1052303064","","1052302064","","203MU037","","203DA037","","203HA037","","203SK037","","203SW037","","203FG037","","203SPLD037","","203SPQA037","","203SPSP037","","203TO037","","203EV037","","203SPFA037","","203SP037","","201HO074","","203AO031","","101AO037","","102AO037","","103AO037","","104AO037","","105AO037","","203AC027","","203AC037","","203CR037","","203AC018","","203VB066","","203CP037","","203CP015","","203COQA037","","203QA017","","203QA055","","203COCD037","","203CD063","","101CO031","","101CO005","","101CO029","","101CO055",""
"Audit Parameter Question","Possible Responses","Display Order","Evidence Req.","Dept Code","Sub Dept Code","Sub Sub Dept Code","Category","SubCategory","SubSubCategory","Onsite or Offsite?","School Procurement & Stores Lead","","School Health Nurse","","School MEP Support","","School Security Supervisor","","School Horticulture Gardener","","School MEP Carpenter","","School MEP Plumber","","School Cafeteria Cook","","School Cafeteria Kitchen Helper","","School Cafeteria Pantry Boy","","School Cafeteria Steward","","School Transport Car Driver","","School Transport Bus Attendant","","School Transport Lead","","Business Corporate-Schools Transport Services Support","","Business Corporate-Schools Transport Maintenance Support","","Business Corporate-Schools Transport Billing and Vendor Management Lead","","Business Corporate-Schools Transport Function Analytics Lead","","Cluster Transport Services Lead","","Business Corporate-Schools Operations HOD","","Business Corporate-Schools Facilities Support","","Business Corporate-Schools MEP Support","","Business Corporate-Schools Cafeteria Support","","Business Corporate-Schools Procurement & Stores Lead","","Business Corporate-Schools Infra & Interiors Support","","Business Corporate-Schools Operations Function Analytics Support","","Cluster MEP Lead","","Business Corporate-Schools Human Resources and Development HOD","","Business Corporate-Schools Talent Acquisition School Lead","","Business Corporate-Schools Talent Acquisition Business Corporate-Schools Lead","","Business Corporate-Schools HR Services School Lead","","Business Corporate-Schools HR Services Business Corporate-Schools Lead","","Business Corporate-Schools Human Resources and Development Function Analytics Lead","","Business Corporate-Schools Learning and Development Lead","","Business Corporate-Schools Payroll and Compliance Lead","","Business Corporate-Schools Talent Management Lead","","Cluster Human Resources and Development Lead","","School HR Services Lead","","Business Corporate-Schools Financial Planning and Analysis Lead","","Business Corporate-Schools Cash Management Lead","","Business Corporate-Schools Accounts Receivable Lead","","Business Corporate-Schools Accounts Receivable Support","","Business Corporate-Schools Accounts Payable Associate Lead","","Business Corporate-Schools Finance and Accounts HOD","","School Fee Collection Lead","","Cluster Finance and Accounts Lead","","School Sales Support","","School Sales Lead","","Primary Sales Counsellor","","Business Corporate-Schools Sales & Marketing HOD","","Business Corporate-Schools Marketing Lead","","Business Corporate-Schools Service Support","","Business Corporate-Schools Corporate and Pre-School Tie Up Support","","Business Corporate-Schools Pre-School Tie Up Support","","Business Corporate-Schools Digital Marketing Support","","Business Corporate-Schools Offline Marketing Support","","Business Corporate-Schools Content & Design Graphic Designer","","Business Corporate-Schools Public Relation Lead","","Business Corporate-Schools Product Marketing Lead","","Cluster Service Lead","","Business Corporate-Schools Contact Centre Support","","Business Corporate-Schools Sales & Marketing Function Analytics Lead","","Business Corporate-Schools IT Infrastructure Lead","","Business Corporate-Schools Surveillance Lead","","Business Corporate-Schools IT Applications Lead","","Business Corporate-Schools ERP Lead","","Business Corporate-Schools Information Technology HOD","","School IT Infrastructure Lead","","Business Corporate-Schools CEO","","Business Corporate-Schools Cluster Principal","","Business Corporate-Schools Chairman's Office Support","","Business Corporate-Schools Vice Chairperson's Office Executive Assistant","","Business Corporate-Schools Legal HOD","","Business Corporate-Schools Contracts Support","","Business Corporate-Schools Litigation Support","","Business Corporate-Schools School Permission and Affiliation Support","","Business Corporate-Schools Brownfield Projects Lead","","Business Corporate-Schools Greenfield Projects Lead","","Business Corporate-Schools Development and Expansion Function Analytics Lead","","Business Corporate-Schools Development and Expansion Billing and Vendor Management Lead","","Business Corporate-Schools Design and Co-ordination Lead","","Business Corporate-Schools HVAC Lead","","Business Corporate-Schools Liaisoning Lead","","School Personalised Learning Centre Co-ordinator","","School Personalised Learning Centre Counsellor","","Business Corporate-Schools Personalised Learning Centre Lead","","School Library Lead","","School Laboratory Lead","","School Toy Room Lead","","School Vice Principal","","School Data Entry Operator","","School Sports and Performing Arts Co-ordinator","","School Cricket Coach","","School Fitness and Games Coach","","School Gymnastics Coach","","School Judo Coach","","School Skating Coach","","School Swimming Coach","","School Life Guard","","School Kids Club Education Facilitator","","Pre Primary Main Teacher","","Primary CBSE Co-ordinator","","Primary CBSE Education Facilitator","","Primary CISCE Subject Teacher","","Primary CIE Co-ordinator","","Primary CIE Education Facilitator","","Middle School CBSE Subject Teacher","","Middle School CISCE Subject Teacher","","Middle School CIE Subject Teacher","","Secondary CBSE Subject Teacher","","Secondary CISCE Subject Teacher","","Secondary CIE Subject Teacher","","Senior Secondary CBSE Subject Teacher","","Senior Secondary CISCE Subject Teacher","","Senior Secondary CIE Subject Teacher","","Business Corporate-Schools Music Lead","","Business Corporate-Schools Dance Lead","","Business Corporate-Schools Handball Lead","","Business Corporate-Schools Skating Lead","","Business Corporate-Schools Swimming Lead","","Business Corporate-Schools Fitness and Games Lead","","Business Corporate-Schools Sports and Performing Arts Learning and Development Lead","","Business Corporate-Schools Sports and Performing Arts Quality Assurance Lead","","Business Corporate-Schools Sports and Performing Arts Operations Lead","","Business Corporate-Schools Tours Lead","","Business Corporate-Schools Events Lead","","Business Corporate-Schools Sports and Performing Arts Function Analytics Lead","","Business Corporate-Schools Sports and Performing Arts Lead","","School Hostel Warden","","Business Corporate-Schools Academic Operations HOD","","Pre Primary Academic Operations Lead","","Primary Academic Operations Lead","","Middle School Academic Operations Lead","","Secondary Academic Operations Lead","","Senior Secondary Academic Operations Lead","","Business Corporate-Schools Academic Partnership Executive Assistant","","Business Corporate-Schools Academic Partnership Lead","","Business Corporate-Schools Career Counselling Lead","","Business Corporate-Schools Academic Partnership Content Writer","","Business Corporate-Schools VEMBARK Support","","Business Corporate-Schools Continuous Professional Development Lead","","Business Corporate-Schools Continuous Professional Development Content Creator","","Business Corporate-Schools Content Quality Assurance Lead","","Business Corporate-Schools Quality Assurance Content Editor","","Business Corporate-Schools Quality Assurance Proof Reader","","Business Corporate-Schools Content Content Development Support","","Business Corporate-Schools Content Development Subject Matter Expert","","Pre Primary Content HOD","","Pre Primary Content Associate Lead","","Pre Primary Content Graphic Designer","","NA Pre Primary Content Pre Primary NA Proof Reader",""
"","","","","","","","","","","","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality","Frequency","Criticality"
"Is External vendor case ID in excel file maintained","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","1","Yes","IT","IA","NA","Infra","Records & Files","","ONSITE","DAILY","MEDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Is External vendor service reports, PM reports in hard copy file maintained","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","2","Yes","IT","IA","NA","Infra","Records & Files","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Is the 30 days backup recording available in DVR","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","1","Yes","IT","SV","NA","Infra","CCTV & DVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Is monitor available and working properly","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","","Yes","IT","IN","NA","Others","Movable assets / Consumable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Is Telephone available and working properly","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","","Yes","IT","IN","NA","Others","Infrastructure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Is Laptop/Desktop/IFP available and working ","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","","Yes","IT","IN","NA","Grade","Movable assets / Consumable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Is Trolley available and in good condition","YES/NO
YES/NO/NOT APPLICABLE
YES/NO/NOT APPLICABLE/NOT OBSERVED","","Yes","IT","IN","NA","Grade","Movable assets / Consumable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
