district_cd,District,Budget_district_seq,Division,block_cd_1,block_cd_2,Block_Name
8010,Ganganagar,0,Division,801067,801067,Anoopgarh
8160,Jailsalmer,0,Division,816020,816020,Bhaniyana
8030,Bikaner,0,Division,803010,803010,Bikaner
8151,Jodhpur,0,Division,815161,815161,Chamu
8160,Jailsalmer,0,Division,816031,816031,Fathegarh
8020,Hanumangarh,0,Division,802011,802011,Hanumangarh
8010,Ganganagar,0,Division,801020,801020,Karanpur
8030,Bikaner,0,Division,803031,803031,Kolayat
8150,Jodhpur,0,Division,815080,815080,Luni
8160,Jailsalmer,0,Division,816011,816011,Mohangarh
8020,Hanumangarh,0,Division,802020,802020,Nohar
8030,Bikaner,0,Division,803070,803070,Panchoo
8151,Jodhpur,0,Division,815140,815140,Pipar City
8160,Jailsalmer,0,Division,816020,816020,Pokaran
8020,Hanumangarh,0,Division,802040,802040,Rawatsar
8020,Hanumangarh,0,Division,802060,802060,Sangaria
8010,Ganganagar,0,Division,801080,801080,Suratgarh
8030,Bikaner,0,Division,803050,803050,Shri Dungargarh
